"NC_007951.1 Burkholderia xenovorans LB400 chromosome 1, complete sequence",266265,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Paraburkholderia;Paraburkholderia xenovorans
"NC_013968.1 Haloferax volcanii DS2 plasmid pHV1, complete sequence",309800,Archaea;Euryarchaeota;Halobacteria;Haloferacales;Haloferacaceae;Haloferax;Haloferax volcanii
"NC_010730.1 Sulfurihydrogenibium sp. YO3AOP1, complete genome",436114,Bacteria;Aquificae;Aquificae;Aquificales;Hydrogenothermaceae;Sulfurihydrogenibium;
"NC_005213.1 Nanoarchaeum equitans Kin4-M chromosome, complete genome",228908,Archaea;DPANN group;Nanoarchaeota;Nanoarchaeales;Nanoarchaeaceae;Nanoarchaeum;Nanoarchaeum equitans
